attration_id,country,province,city,lien_detail,per_adult_value,image,titre,nbre_review,address,description,time,score,long_description,price
0,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11455174-New_York_in_One_Day_Guided_Sightseeing_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/66/44/42/caption.jpg?w=500&h=400&s=1,1. New York in One Day Guided Sightseeing Tour,3707,"{'lat': 40.71304703, 'lng': -74.00723267}",Bus Tours,6 hours,5.0,Combine New York City’s top attractions in a guided tour via bus and the Staten Island Ferry. With insider commentary from…,99.0
1,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11462107-New_York_Helicopter_Tour_Manhattan_Highlights-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/03/ea/caption.jpg?w=500&h=400&s=1,2. New York Helicopter Tour: Manhattan Highlights,641,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,12–15 minutes,5.0,Get a perspective on New York City that most visitors miss when you take to the air for a scenic helicopter tour. See Manhattan…,239.0
2,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11462108-New_York_Helicopter_Tour_Ultimate_Manhattan_Sightseeing-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/f4/52/caption.jpg?w=500&h=400&s=1,3. New York Helicopter Tour: Ultimate Manhattan Sightseeing,528,No Address Found,Helicopter Tours,17–20 minutes,5.0,"Avoid the congestion of New York City down on the ground, and take to the sky to see Manhattan during this NYC helicopter…",289.0
3,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11447884-The_Manhattan_Helicopter_Tour_of_New_York-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ee/0a/2f/caption.jpg?w=500&h=400&s=1,4. The Manhattan Helicopter Tour of New York,300,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,12–15 minutes,4.5,"It might seem impossible to see the highlights of New York City in just a few minutes, but this small-group helicopter tour…",209.0
4,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11854335-Empire_State_Building_Ticket-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/f3/73/13/caption.jpg?w=500&h=400&s=1,5. Empire State Building Ticket,1378,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,45–90 minutes,4.5,No visit to New York is complete without experiencing bird's-eye city views. Admire the panoramas from the Empire State …,48.0
5,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d23904654-SUMMIT_One_Vanderbilt_Experience_Ticket-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/23/41/e4/caption.jpg?w=500&h=400&s=1,6. SUMMIT One Vanderbilt Experience Ticket,1874,"{'lat': 40.71304703, 'lng': -74.00723267}",Skyscrapers & Towers,1–3 hours,4.5,"SUMMIT One Vanderbilt blends elements of art and technology, taking the concept of an “observation deck” to entirely new…",46.0
6,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11451132-Statue_of_Liberty_Ellis_Island_Tour_All_Options-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/45/d1/3a/caption.jpg?w=500&h=400&s=1,7. Statue of Liberty & Ellis Island Tour: All Options,4459,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,3–5 hours,5.0,Delve into the stories of immigrants with ExperienceFirst’s knowledgeable local guides to the Statue of Liberty and Ellis…,44.0
7,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d17683731-Deluxe_Manhattan_Helicopter_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/77/6d/25/caption.jpg?w=500&h=400&s=1,8. Deluxe Manhattan Helicopter Tour,39,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,18–20 minutes,4.5,An exciting and comprehensive helicopter tour of New York City with breathtaking views and excellent photo opportunities…,279.0
8,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d17683732-Manhattan_Helicopter_Sightseeing_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/77/6d/26/caption.jpg?w=500&h=400&s=1,9. Manhattan Helicopter Sightseeing Tour,47,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,12–15 minutes,4.5,"Take a flight that you will remember for a lifetime. Departing from the Downtown Manhattan Heliport, this helicopter tour…",229.0
9,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g46431-d27139364-New_York_City_Night_Skyline_Shared_Tour-Fairfield_New_Jersey.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/40/31/0c/caption.jpg?w=500&h=400&s=1,10. New York City Night Skyline Shared Tour,0,"{'lat': 40.71304703, 'lng': -74.00723267}",Helicopter Tours,20–25 minutes,0.0,The best selling New York City helicopter tours departing from the conveniently located Essex County Airport in NJ. Explore…,198.0
