,Unnamed: 0,attraction_id,country,province,city,lien_detail,image,category,nbre_review,address,name,rating,price,lat,lng
0,0,0,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/90/ab/88/central-park-manhattan.jpg?w=500&h=400&s=1,1. Central Park,134000,"{'lat': 40.71304703, 'lng': -74.00723267}",Points of Interest & Landmarks • Parks,4.5,200.0,40.71304703,-74.00723267
1,1,1,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b3/aa/b3/911-memorial-nyc.jpg?w=500&h=-1&s=1,2. The National 9/11 Memorial & Museum,96883,"{'lat': 40.71304703, 'lng': -74.00723267}",Speciality Museums • Historic Sites,4.5,33.0,40.71304703,-74.00723267
2,2,2,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/61/95/89/the-met-fifth-avenue.jpg?w=500&h=-1&s=1,3. The Metropolitan Museum of Art,55184,"{'lat': 40.78384018, 'lng': -73.96555328}",Points of Interest & Landmarks • Art Museums,5.0,126.14,40.78384018,-73.96555328
3,3,3,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9d/74/9f/photo0jpg.jpg?w=500&h=-1&s=1,4. Empire State Building,94920,"{'lat': 40.74880981, 'lng': -73.98639679}",Points of Interest & Landmarks • Architectural Buildings,4.5,48.0,40.74880981,-73.98639679
4,4,4,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d519474-Reviews-The_High_Line-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/92/81/32/photo1jpg.jpg?w=500&h=400&s=1,5. The High Line,62997,"{'lat': 40.72782516, 'lng': -73.99477386}",Parks • Scenic Walking Areas,4.5,88.0,40.72782516,-73.99477386
5,5,5,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/87/eb/86/photo3jpg.jpg?w=500&h=-1&s=1,6. Broadway,31686,"{'lat': 40.75992584, 'lng': -73.98041534}",Points of Interest & Landmarks,4.5,39.0,40.75992584,-73.98041534
6,6,6,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/64/68/68/new-york-traumblick-auf.jpg?w=500&h=400&s=1,7. Top of the Rock,80157,"{'lat': 40.962442, 'lng': -73.728746}",Lookouts • Observation Decks & Towers,4.5,43.55,40.962442,-73.728746
7,7,7,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d102741-Reviews-Brooklyn_Bridge-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/90/3d/6f/photo0jpg.jpg?w=500&h=-1&s=1,8. Brooklyn Bridge,25997,"{'lat': 40.71304703, 'lng': -74.00723267}",Bridges,4.5,99.0,40.71304703,-74.00723267
8,8,8,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d103887-Reviews-Statue_of_Liberty-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/ba/d3/e8/statue-of-liberty_rotated_90.jpg?w=500&h=400&s=1,9. Statue of Liberty,44027,"{'lat': 40.71304703, 'lng': -74.00723267}",Points of Interest & Landmarks • Monuments & Statues,4.5,44.0,40.71304703,-74.00723267
9,9,9,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d103371-Reviews-Grand_Central_Terminal-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/d7/27/fb-img-1556736015619.jpg?w=500&h=-1&s=1,10. Grand Central Terminal,44731,"{'lat': 40.71304703, 'lng': -74.00723267}",Points of Interest & Landmarks • Architectural Buildings,4.5,39.0,40.71304703,-74.00723267
